"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2010;"EI3ELE";"I3-EPU-Electronique";2;"86"
2010;"EI3ELE";"I3-EPU-Electronique";1;"91"
2010;"EI3ELE";"I3-EPU-Electronique";1;"93"
2010;"EI3ELE";"I3-EPU-Electronique";1;"972"
2010;"EI3ELE";"I3-EPU-Electronique";9;"99216"
2010;"EI3ELE";"I3-EPU-Electronique";1;"99501"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3INF";"I3-EPU-Informatique";1;"10"
2010;"EI3INF";"I3-EPU-Informatique";1;"16"
2010;"EI3INF";"I3-EPU-Informatique";2;"17"
2010;"EI3INF";"I3-EPU-Informatique";1;"22"
2010;"EI3INF";"I3-EPU-Informatique";1;"25"
2010;"EI3INF";"I3-EPU-Informatique";1;"26"
2010;"EI3INF";"I3-EPU-Informatique";2;"28"
2010;"EI3INF";"I3-EPU-Informatique";2;"34"
2010;"EI3INF";"I3-EPU-Informatique";15;"37"
2010;"EI3INF";"I3-EPU-Informatique";2;"38"
2010;"EI3INF";"I3-EPU-Informatique";6;"41"
2010;"EI3INF";"I3-EPU-Informatique";3;"44"
2010;"EI3INF";"I3-EPU-Informatique";5;"45"
2010;"EI3INF";"I3-EPU-Informatique";2;"53"
2010;"EI3INF";"I3-EPU-Informatique";1;"56"
2010;"EI3INF";"I3-EPU-Informatique";2;"62"
2010;"EI3INF";"I3-EPU-Informatique";1;"71"
2010;"EI3INF";"I3-EPU-Informatique";3;"79"
2010;"EI3INF";"I3-EPU-Informatique";1;"80"
2010;"EI3INF";"I3-EPU-Informatique";2;"85"
2010;"EI3INF";"I3-EPU-Informatique";1;"86"
2010;"EI3INF";"I3-EPU-Informatique";1;"92"
2010;"EI3INF";"I3-EPU-Informatique";1;"972"
2010;"EI3INF";"I3-EPU-Informatique";1;"974"
2010;"EI3INF";"I3-EPU-Informatique";16;"99216"
2010;"EI3INF";"I3-EPU-Informatique";1;"99322"
2010;"EI3INF";"I3-EPU-Informatique";1;"99331"
2010;"EI3INF";"I3-EPU-Informatique";1;"99341"
2010;"EI3INF";"I3-EPU-Informatique";2;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"06"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"16"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"17"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";2;"28"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"31"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";2;"36"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";3;"37"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"38"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";4;"41"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";3;"45"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"47"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"65"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"72"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";2;"86"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"13"
2010;"EI3MEC";"I3-EPU-Mécanique";4;"16"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"17"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"18"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"21"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"27"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"28"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"29"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"33"
2010;"EI3MEC";"I3-EPU-Mécanique";9;"37"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"40"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"41"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"44"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"45"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"50"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"51"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"56"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"59"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"61"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"66"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"71"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"72"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"74"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"76"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"78"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"79"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"86"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"88"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"94"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"95"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"988"
2010;"EI3MEC";"I3-EPU-Mécanique";12;"99216"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99324"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99331"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99341"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI1PIP";"Parcours PeiP année 1";1;"06"
2010;"EI1PIP";"Parcours PeiP année 1";1;"16"
2010;"EI1PIP";"Parcours PeiP année 1";5;"18"
2010;"EI1PIP";"Parcours PeiP année 1";1;"22"
2010;"EI1PIP";"Parcours PeiP année 1";3;"28"
2010;"EI1PIP";"Parcours PeiP année 1";2;"31"
2010;"EI1PIP";"Parcours PeiP année 1";3;"35"
2010;"EI1PIP";"Parcours PeiP année 1";1;"36"
2010;"EI1PIP";"Parcours PeiP année 1";28;"37"
2010;"EI1PIP";"Parcours PeiP année 1";7;"41"
2010;"EI1PIP";"Parcours PeiP année 1";5;"44"
2010;"EI1PIP";"Parcours PeiP année 1";7;"45"
2010;"EI1PIP";"Parcours PeiP année 1";3;"49"
2010;"EI1PIP";"Parcours PeiP année 1";2;"53"
2010;"EI1PIP";"Parcours PeiP année 1";1;"60"
2010;"EI1PIP";"Parcours PeiP année 1";1;"61"
2010;"EI1PIP";"Parcours PeiP année 1";1;"64"
2010;"EI1PIP";"Parcours PeiP année 1";6;"72"
2010;"EI1PIP";"Parcours PeiP année 1";1;"75"
2010;"EI1PIP";"Parcours PeiP année 1";1;"77"
2010;"EI1PIP";"Parcours PeiP année 1";1;"78"
2010;"EI1PIP";"Parcours PeiP année 1";3;"79"
2010;"EI1PIP";"Parcours PeiP année 1";1;"83"
2010;"EI1PIP";"Parcours PeiP année 1";3;"85"
2010;"EI1PIP";"Parcours PeiP année 1";1;"86"
2010;"EI1PIP";"Parcours PeiP année 1";1;"87"
2010;"EI1PIP";"Parcours PeiP année 1";2;"92"
2010;"EI1PIP";"Parcours PeiP année 1";2;"95"
2010;"EI1PIP";"Parcours PeiP année 1";1;"99328"
2010;"EI1PIP";"Parcours PeiP année 1";1;"99341"
2010;"EI1PIP";"Parcours PeiP année 1";3;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"03"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"07"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"12"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"13"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"14"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"17"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"18"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"22"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"25"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"28"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"29"
2011;"EI3AMG";"I3-EPU-Aménagement";4;"31"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"33"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"34"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"35"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"36"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"37"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"38"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"39"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"40"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"41"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"42"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"43"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"44"
2011;"EI3AMG";"I3-EPU-Aménagement";4;"45"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"49"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"56"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"57"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"58"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"59"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"60"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"61"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"64"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"66"
2011;"EI3AMG";"I3-EPU-Aménagement";5;"67"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"69"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"72"
2011;"EI3AMG";"I3-EPU-Aménagement";5;"73"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"76"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"77"
2011;"EI3AMG";"I3-EPU-Aménagement";4;"78"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"79"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"81"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"82"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"84"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"86"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"87"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"91"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"94"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"973"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"99327"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"99350"
